customer_id,region,arm,repeat_purchase_90d
C1321,Pacific-NW,control,0
C0289,Southeast,control,0
C1381,Pacific-NW,control,0
C0815,Southwest,control,0
C0631,Midwest,control,0
C0525,Midwest,control,0
C0158,Northeast,treatment,0
C0338,Southeast,control,0
C1555,Pacific-NW,treatment,1
C1476,Pacific-NW,treatment,1
C0497,Southeast,treatment,0
C0047,Northeast,control,0
C0748,Midwest,treatment,0
C1336,Pacific-NW,control,0
C0136,Northeast,treatment,0
C0754,Midwest,treatment,1
C0463,Southeast,treatment,0
C1323,Pacific-NW,control,0
C0915,Southwest,treatment,0
C1379,Pacific-NW,control,1
C1025,Southwest,treatment,0
C0440,Southeast,treatment,0
C0178,Northeast,treatment,1
C0571,Midwest,control,0
C1266,West,treatment,1
C0425,Southeast,treatment,0
C0326,Southeast,control,0
C0644,Midwest,control,0
C0665,Midwest,treatment,0
C0351,Southeast,control,1
C0448,Southeast,treatment,0
C1062,West,control,0
C1320,Pacific-NW,control,0
C1533,Pacific-NW,treatment,0
C0755,Midwest,treatment,0
C0139,Northeast,treatment,1
C0452,Southeast,treatment,1
C0700,Midwest,treatment,0
C1326,Pacific-NW,control,0
C0831,Southwest,control,1
C0951,Southwest,treatment,0
C1020,Southwest,treatment,0
C1226,West,treatment,0
C0397,Southeast,treatment,0
C1225,West,treatment,0
C1197,West,treatment,1
C1327,Pacific-NW,control,0
C0022,Northeast,control,0
C0767,Midwest,treatment,0
C0393,Southeast,treatment,0
C0251,Northeast,treatment,0
C1345,Pacific-NW,control,0
C0672,Midwest,treatment,0
C1539,Pacific-NW,treatment,0
C1337,Pacific-NW,control,1
C1092,West,control,1
C0870,Southwest,control,1
C0605,Midwest,control,0
C1080,West,control,1
C1058,West,control,1
C0628,Midwest,control,0
C0903,Southwest,control,1
C0857,Southwest,control,0
C0701,Midwest,treatment,1
C1249,West,treatment,0
C0710,Midwest,treatment,0
C1532,Pacific-NW,treatment,0
C0322,Southeast,control,0
C1388,Pacific-NW,control,0
C1463,Pacific-NW,treatment,1
C0625,Midwest,control,0
C0126,Northeast,control,0
C1012,Southwest,treatment,0
C0849,Southwest,control,0
C0781,Southwest,control,0
C0606,Midwest,control,0
C1542,Pacific-NW,treatment,0
C1295,West,treatment,0
C0416,Southeast,treatment,1
C0101,Northeast,control,0
C0742,Midwest,treatment,0
C0335,Southeast,control,0
C1281,West,treatment,0
C0835,Southwest,control,0
C0834,Southwest,control,0
C1439,Pacific-NW,treatment,0
C0940,Southwest,treatment,0
C1364,Pacific-NW,control,0
C1462,Pacific-NW,treatment,0
C1133,West,control,1
C1127,West,control,1
C0641,Midwest,control,0
C0105,Northeast,control,0
C0816,Southwest,control,0
C0999,Southwest,treatment,0
C1076,West,control,0
C1498,Pacific-NW,treatment,1
C0461,Southeast,treatment,1
C1047,West,control,0
C0586,Midwest,control,0
C1310,Pacific-NW,control,0
C1258,West,treatment,0
C0498,Southeast,treatment,1
C0703,Midwest,treatment,0
C0376,Southeast,control,0
C0976,Southwest,treatment,0
C1558,Pacific-NW,treatment,0
C0405,Southeast,treatment,0
C0420,Southeast,treatment,0
C1276,West,treatment,0
C0174,Northeast,treatment,0
C0691,Midwest,treatment,0
C0828,Southwest,control,0
C0429,Southeast,treatment,0
C1160,West,control,0
C1348,Pacific-NW,control,0
C0719,Midwest,treatment,1
C0283,Southeast,control,1
C1525,Pacific-NW,treatment,1
C1188,West,treatment,0
C0636,Midwest,control,0
C0739,Midwest,treatment,0
C0500,Southeast,treatment,1
C1099,West,control,0
C1114,West,control,1
C0692,Midwest,treatment,0
C0001,Northeast,control,0
C0927,Southwest,treatment,1
C1235,West,treatment,1
C1239,West,treatment,0
C0328,Southeast,control,0
C0103,Northeast,control,1
C0214,Northeast,treatment,0
C0853,Southwest,control,0
C0247,Northeast,treatment,0
C1538,Pacific-NW,treatment,1
C1265,West,treatment,0
C1409,Pacific-NW,control,0
C1182,West,treatment,0
C1522,Pacific-NW,treatment,0
C0366,Southeast,control,0
C0249,Northeast,treatment,0
C0737,Midwest,treatment,1
C0027,Northeast,control,1
C0837,Southwest,control,0
C1413,Pacific-NW,control,1
C0681,Midwest,treatment,0
C1472,Pacific-NW,treatment,1
C0004,Northeast,control,0
C0135,Northeast,treatment,0
C0838,Southwest,control,0
C0356,Southeast,control,0
C0293,Southeast,control,0
C0699,Midwest,treatment,1
C1049,West,control,0
C1334,Pacific-NW,control,0
C1419,Pacific-NW,control,0
C0370,Southeast,control,0
C1521,Pacific-NW,treatment,0
C0227,Northeast,treatment,0
C0340,Southeast,control,0
C1344,Pacific-NW,control,0
C0604,Midwest,control,0
C0455,Southeast,treatment,0
C0064,Northeast,control,0
C0991,Southwest,treatment,0
C0238,Northeast,treatment,1
C0651,Midwest,treatment,0
C0113,Northeast,control,0
C1535,Pacific-NW,treatment,0
C1303,Pacific-NW,control,0
C0578,Midwest,control,0
C0127,Northeast,control,1
C1009,Southwest,treatment,0
C1244,West,treatment,0
C0852,Southwest,control,0
C0695,Midwest,treatment,0
C0138,Northeast,treatment,0
C1010,Southwest,treatment,0
C1269,West,treatment,0
C0008,Northeast,control,0
C0503,Southeast,treatment,1
C0855,Southwest,control,1
C0948,Southwest,treatment,0
C0632,Midwest,control,1
C0930,Southwest,treatment,1
C1297,West,treatment,0
C0408,Southeast,treatment,1
C1520,Pacific-NW,treatment,1
C0358,Southeast,control,1
C0154,Northeast,treatment,0
C0344,Southeast,control,0
C0306,Southeast,control,1
C1415,Pacific-NW,control,0
C0613,Midwest,control,0
C1230,West,treatment,0
C0281,Southeast,control,0
C1341,Pacific-NW,control,0
C1510,Pacific-NW,treatment,0
C1081,West,control,0
C0401,Southeast,treatment,0
C0469,Southeast,treatment,0
C0505,Southeast,treatment,0
C0535,Midwest,control,0
C1017,Southwest,treatment,0
C0904,Southwest,control,0
C1250,West,treatment,0
C0551,Midwest,control,0
C1390,Pacific-NW,control,0
C1274,West,treatment,0
C1131,West,control,0
C0946,Southwest,treatment,0
C0164,Northeast,treatment,1
C0337,Southeast,control,1
C0060,Northeast,control,0
C1119,West,control,0
C1457,Pacific-NW,treatment,0
C1504,Pacific-NW,treatment,0
C0450,Southeast,treatment,0
C0856,Southwest,control,0
C1227,West,treatment,0
C1221,West,treatment,0
C1392,Pacific-NW,control,0
C0438,Southeast,treatment,0
C0787,Southwest,control,1
C0874,Southwest,control,0
C1438,Pacific-NW,treatment,0
C0820,Southwest,control,1
C1007,Southwest,treatment,0
C0587,Midwest,control,0
C0942,Southwest,treatment,0
C0349,Southeast,control,0
C1395,Pacific-NW,control,1
C1029,Southwest,treatment,0
C1164,West,control,0
C0464,Southeast,treatment,0
C1232,West,treatment,0
C1161,West,control,0
C1459,Pacific-NW,treatment,0
C0654,Midwest,treatment,0
C0574,Midwest,control,0
C0648,Midwest,control,0
C0596,Midwest,control,0
C0891,Southwest,control,0
C0471,Southeast,treatment,0
C0801,Southwest,control,1
C0282,Southeast,control,1
C0933,Southwest,treatment,0
C0733,Midwest,treatment,0
C0716,Midwest,treatment,0
C0833,Southwest,control,0
C0952,Southwest,treatment,0
C1145,West,control,1
C1038,Southwest,treatment,0
C1256,West,treatment,0
C0456,Southeast,treatment,0
C0585,Midwest,control,0
C0148,Northeast,treatment,1
C0161,Northeast,treatment,0
C1112,West,control,0
C0751,Midwest,treatment,0
C1118,West,control,0
C0860,Southwest,control,0
C0953,Southwest,treatment,0
C1309,Pacific-NW,control,0
C1220,West,treatment,0
C1216,West,treatment,0
C0629,Midwest,control,1
C0607,Midwest,control,0
C0165,Northeast,treatment,0
C0107,Northeast,control,0
C1041,West,control,0
C0618,Midwest,control,0
C1306,Pacific-NW,control,0
C0330,Southeast,control,0
C0481,Southeast,treatment,0
C0499,Southeast,treatment,0
C1452,Pacific-NW,treatment,0
C1338,Pacific-NW,control,0
C0094,Northeast,control,1
C0810,Southwest,control,0
C0434,Southeast,treatment,0
C1108,West,control,0
C0044,Northeast,control,0
C0861,Southwest,control,0
C1367,Pacific-NW,control,1
C0968,Southwest,treatment,1
C0711,Midwest,treatment,1
C1523,Pacific-NW,treatment,0
C1487,Pacific-NW,treatment,0
C0766,Midwest,treatment,1
C0886,Southwest,control,0
C0557,Midwest,control,1
C1545,Pacific-NW,treatment,1
C0070,Northeast,control,0
C0515,Southeast,treatment,0
C0510,Southeast,treatment,1
C0341,Southeast,control,0
C0222,Northeast,treatment,0
C0147,Northeast,treatment,0
C1054,West,control,1
C1139,West,control,1
C0804,Southwest,control,0
C0509,Southeast,treatment,1
C1397,Pacific-NW,control,0
C0177,Northeast,treatment,0
C0805,Southwest,control,0
C0169,Northeast,treatment,1
C1403,Pacific-NW,control,0
C1436,Pacific-NW,treatment,0
C0130,Northeast,control,0
C0190,Northeast,treatment,0
C0137,Northeast,treatment,1
C1422,Pacific-NW,control,0
C1279,West,treatment,1
C0895,Southwest,control,0
C0198,Northeast,treatment,0
C0291,Southeast,control,0
C0037,Northeast,control,0
C0768,Midwest,treatment,1
C0233,Northeast,treatment,0
C0646,Midwest,control,0
C0034,Northeast,control,0
C1113,West,control,1
C1507,Pacific-NW,treatment,1
C1069,West,control,1
C0866,Southwest,control,1
C0342,Southeast,control,0
C1086,West,control,0
C0200,Northeast,treatment,0
C0430,Southeast,treatment,0
C1537,Pacific-NW,treatment,0
C0877,Southwest,control,1
C0731,Midwest,treatment,0
C0920,Southwest,treatment,0
C0298,Southeast,control,1
C0074,Northeast,control,1
C0808,Southwest,control,0
C0548,Midwest,control,0
C0950,Southwest,treatment,0
C1437,Pacific-NW,treatment,1
C1416,Pacific-NW,control,1
C1423,Pacific-NW,control,1
C0822,Southwest,control,0
C0664,Midwest,treatment,0
C1242,West,treatment,0
C1447,Pacific-NW,treatment,0
C0624,Midwest,control,0
C1163,West,control,0
C0213,Northeast,treatment,0
C1036,Southwest,treatment,0
C1548,Pacific-NW,treatment,1
C1449,Pacific-NW,treatment,0
C0728,Midwest,treatment,0
C0702,Midwest,treatment,0
C1023,Southwest,treatment,0
C1492,Pacific-NW,treatment,0
C0235,Northeast,treatment,0
C1008,Southwest,treatment,0
C0979,Southwest,treatment,0
C0068,Northeast,control,1
C0025,Northeast,control,0
C0217,Northeast,treatment,1
C0813,Southwest,control,1
C0736,Midwest,treatment,0
C1154,West,control,0
C0112,Northeast,control,0
C0167,Northeast,treatment,0
C1490,Pacific-NW,treatment,0
C0208,Northeast,treatment,0
C0275,Southeast,control,1
C0042,Northeast,control,0
C0592,Midwest,control,0
C1387,Pacific-NW,control,0
C0526,Midwest,control,0
C0288,Southeast,control,1
C0470,Southeast,treatment,1
C1351,Pacific-NW,control,0
C0122,Northeast,control,0
C1556,Pacific-NW,treatment,0
C1253,West,treatment,1
C0929,Southwest,treatment,0
C0674,Midwest,treatment,0
C1142,West,control,0
C0887,Southwest,control,0
C0957,Southwest,treatment,0
C0026,Northeast,control,0
C1135,West,control,1
C0150,Northeast,treatment,1
C0926,Southwest,treatment,0
C1177,West,treatment,1
C0697,Midwest,treatment,0
C0844,Southwest,control,0
C0890,Southwest,control,1
C0599,Midwest,control,1
C1021,Southwest,treatment,0
C0140,Northeast,treatment,0
C0750,Midwest,treatment,0
C1285,West,treatment,0
C1005,Southwest,treatment,0
C0324,Southeast,control,0
C0181,Northeast,treatment,1
C1273,West,treatment,1
C0451,Southeast,treatment,0
C0608,Midwest,control,0
C1044,West,control,0
C1353,Pacific-NW,control,0
C0297,Southeast,control,0
C1294,West,treatment,1
C1251,West,treatment,0
C0095,Northeast,control,1
C1424,Pacific-NW,control,0
C0638,Midwest,control,0
C1305,Pacific-NW,control,0
C0287,Southeast,control,0
C0489,Southeast,treatment,0
C0445,Southeast,treatment,0
C1209,West,treatment,0
C1396,Pacific-NW,control,1
C1199,West,treatment,0
C0276,Southeast,control,1
C0807,Southwest,control,0
C1153,West,control,0
C1207,West,treatment,1
C0033,Northeast,control,0
C1105,West,control,1
C0308,Southeast,control,1
C0771,Midwest,treatment,0
C0012,Northeast,control,0
C0873,Southwest,control,0
C1068,West,control,0
C0087,Northeast,control,0
C0779,Midwest,treatment,0
C1061,West,control,0
C1546,Pacific-NW,treatment,0
C1083,West,control,0
C1066,West,control,1
C0783,Southwest,control,1
C0563,Midwest,control,0
C0210,Northeast,treatment,0
C1173,West,treatment,1
C0740,Midwest,treatment,0
C0595,Midwest,control,0
C0124,Northeast,control,0
C0735,Midwest,treatment,1
C0932,Southwest,treatment,0
C0099,Northeast,control,1
C0378,Southeast,control,0
C0131,Northeast,treatment,0
C0024,Northeast,control,0
C1408,Pacific-NW,control,0
C1469,Pacific-NW,treatment,0
C0556,Midwest,control,0
C0371,Southeast,control,0
C0384,Southeast,control,0
C0202,Northeast,treatment,0
C0918,Southwest,treatment,0
C0369,Southeast,control,1
C0974,Southwest,treatment,1
C0388,Southeast,control,0
C0817,Southwest,control,0
C1317,Pacific-NW,control,0
C0257,Northeast,treatment,1
C1222,West,treatment,0
C1120,West,control,1
C0170,Northeast,treatment,0
C1330,Pacific-NW,control,1
C0561,Midwest,control,0
C0374,Southeast,control,0
C0910,Southwest,control,0
C0720,Midwest,treatment,0
C0792,Southwest,control,0
C0955,Southwest,treatment,0
C1252,West,treatment,0
C1168,West,control,1
C1205,West,treatment,0
C0869,Southwest,control,0
C0973,Southwest,treatment,0
C1156,West,control,0
C1519,Pacific-NW,treatment,0
C1072,West,control,1
C0965,Southwest,treatment,0
C0775,Midwest,treatment,0
C0325,Southeast,control,0
C0204,Northeast,treatment,0
C0085,Northeast,control,0
C0634,Midwest,control,0
C0909,Southwest,control,0
C0612,Midwest,control,0
C0399,Southeast,treatment,0
C0092,Northeast,control,1
C1107,West,control,0
C0431,Southeast,treatment,0
C0780,Midwest,treatment,0
C1144,West,control,0
C0292,Southeast,control,0
C0058,Northeast,control,1
C1346,Pacific-NW,control,0
C0258,Northeast,treatment,0
C0889,Southwest,control,0
C1517,Pacific-NW,treatment,0
C1467,Pacific-NW,treatment,0
C1067,West,control,1
C0389,Southeast,control,1
C0336,Southeast,control,1
C0274,Southeast,control,0
C0757,Midwest,treatment,0
C1078,West,control,0
C1506,Pacific-NW,treatment,0
C0129,Northeast,control,0
C0803,Southwest,control,0
C0029,Northeast,control,0
C1208,West,treatment,0
C0883,Southwest,control,0
C1484,Pacific-NW,treatment,0
C0511,Southeast,treatment,0
C0676,Midwest,treatment,0
C0152,Northeast,treatment,0
C0245,Northeast,treatment,1
C0715,Midwest,treatment,1
C0544,Midwest,control,0
C0545,Midwest,control,0
C0640,Midwest,control,0
C0698,Midwest,treatment,0
C1290,West,treatment,0
C1313,Pacific-NW,control,0
C0424,Southeast,treatment,0
C0911,Southwest,treatment,1
C1172,West,treatment,1
C0660,Midwest,treatment,0
C0798,Southwest,control,0
C1534,Pacific-NW,treatment,0
C1202,West,treatment,0
C0100,Northeast,control,1
C0851,Southwest,control,0
C0449,Southeast,treatment,0
C1456,Pacific-NW,treatment,0
C0756,Midwest,treatment,0
C0977,Southwest,treatment,0
C0116,Northeast,control,0
C0778,Midwest,treatment,0
C0073,Northeast,control,0
C0846,Southwest,control,1
C0538,Midwest,control,0
C0850,Southwest,control,1
C0175,Northeast,treatment,1
C0088,Northeast,control,1
C0552,Midwest,control,0
C1511,Pacific-NW,treatment,1
C0706,Midwest,treatment,0
C0315,Southeast,control,0
C1421,Pacific-NW,control,0
C0601,Midwest,control,0
C1497,Pacific-NW,treatment,0
C1095,West,control,0
C0600,Midwest,control,0
C0278,Southeast,control,0
C1034,Southwest,treatment,0
C1384,Pacific-NW,control,1
C0764,Midwest,treatment,1
C0836,Southwest,control,1
C1217,West,treatment,0
C0560,Midwest,control,0
C0685,Midwest,treatment,0
